CORPUS,DIAMETER,HUB_THICKNESS,MODEL,MODEL_NAME,PITCH,Performance_File,SHAFT_DIAMETER,WEIGHT
UAV,508,12.7,apc_propellers_20x10E,apc_propellers_20x10E,254,PER3_20x10E.dat,6.35,0.095979644
UAV,508,15.494,apc_propellers_20x10W,apc_propellers_20x10W,254,PER3_20x10W.dat,7.9375,0.202119704
UAV,508,12.7,apc_propellers_20x11E,apc_propellers_20x11E,279.4,PER3_20x11E.dat,6.35,0.099018697
UAV,508,19.304,apc_propellers_20x12,apc_propellers_20x12,304.8,PER3_20x12.dat,7.9375,0.191097467
UAV,508,14.732,apc_propellers_20x12WE,apc_propellers_20x12WE,304.8,PER3_20x12WE.dat,6.35,0.130996792
UAV,508,12.954,apc_propellers_20x13E,apc_propellers_20x13E,330.2,PER3_20x13E.dat,6.35,0.098020799
UAV,508,21.082,apc_propellers_20x14,apc_propellers_20x14,355.6,PER3_20x14.dat,7.9375,0.199987831
UAV,508,21.336,apc_propellers_20x15C,apc_propellers_20x15C,381,PER3_20x15C.dat,7.9375,0.151090829
UAV,508,14.224,apc_propellers_20x15E,apc_propellers_20x15E,381,PER3_20x15E.dat,6.35,0.1179334
UAV,508,17.272,apc_propellers_20x8,apc_propellers_20x8,203.2,PER3_20x8.dat,7.9375,0.182025667
UAV,508,12.446,apc_propellers_20x8E,apc_propellers_20x8E,203.2,PER3_20x8E.dat,6.35,0.095979644
UAV,508,14.732,apc_propellers_20x8W,apc_propellers_20x8W,203.2,PER3_20x8W.dat,7.9375,0.193047904
UAV,533.4,15.494,apc_propellers_21x10W,apc_propellers_21x10W,254,PER3_21x10W.dat,7.9375,0.225116717
UAV,533.4,14.478,apc_propellers_21x12WE,apc_propellers_21x12WE,304.8,PER3_21x12WE.dat,6.35,0.147144596
UAV,533.4,14.732,apc_propellers_21x13E,apc_propellers_21x13E,330.2,PER3_21x13E.dat,6.35,0.130134971
UAV,533.4,13.462,apc_propellers_21x13WE,apc_propellers_21x13WE,330.2,PER3_21x13WE.dat,6.35,0.128003098
UAV,558.8,18.542,apc_propellers_22x10,apc_propellers_22x10,254,PER3_22x10.dat,7.9375,0.233871004
UAV,558.8,13.462,apc_propellers_22x10E,apc_propellers_22x10E,254,PER3_22x10E.dat,7.9375,0.133990486
UAV,558.8,13.716,apc_propellers_22x12E,apc_propellers_22x12E,304.8,PER3_22x12E.dat,7.9375,0.135986282
UAV,558.8,13.97,apc_propellers_22x12WE,apc_propellers_22x12WE,304.8,PER3_22x12WE.dat,7.9375,0.157985397
UAV,558.8,18.034,apc_propellers_22x8,apc_propellers_22x8,203.2,PER3_22x8.dat,7.9375,0.240130546
UAV,609.6,14.478,apc_propellers_24x12E,apc_propellers_24x12E,304.8,PER3_24x12E.dat,7.9375,0.164018144
UAV,635,16.002,apc_propellers_25x12_5E,apc_propellers_25x12_5E,317.5,PER3_25x125E.dat,7.9375,0.223120921
UAV,660.4,13.97,apc_propellers_26x13E,apc_propellers_26x13E,330.2,PER3_26x13E.dat,7.9375,0.209014272
UAV,660.4,15.24,apc_propellers_26x15E,apc_propellers_26x15E,381,PER3_26x15E.dat,7.9375,0.214003762
UAV,685.8,15.494,apc_propellers_27x13E,apc_propellers_27x13E,330.2,PER3_27x13E.dat,7.9375,0.232011285
UAV,104.14,7.62,apc_propellers_4_1x4_1E,apc_propellers_4_1x4_1E,104.14,PER3_41x41E.dat,6.35,0.003129771
UAV,106.68,7.62,apc_propellers_4_2x2,apc_propellers_4_2x2,50.8,PER3_42x2.dat,6.35,0.003129771
UAV,106.68,7.62,apc_propellers_4_2x4,apc_propellers_4_2x4,101.6,PER3_42x4.dat,6.35,0.003129771
UAV,114.3,7.62,apc_propellers_4_5x3_5,apc_propellers_4_5x3_5,88.9,PER3_45x35.dat,6.35,0.003991592
UAV,114.3,7.62,apc_propellers_4_5x4,apc_propellers_4_5x4,101.6,PER3_45x4.dat,6.35,0.003991592
UAV,114.3,7.112,apc_propellers_4_5x4_1E,apc_propellers_4_5x4_1E,104.14,PER3_45x41E.dat,6.35,0.003991592
UAV,120.65,8.636,apc_propellers_4_75x4,apc_propellers_4_75x4,101.6,PER3_475x4.dat,4.7625,0.005942029
UAV,120.65,7.62,apc_propellers_4_75x4_5E,apc_propellers_4_75x4_5E,114.3,PER3_475x45E.dat,6.35,0.003991592
